first_name,last_name,location,linkedin,email,current_title_and_company,prior_title_and_company,school_and_degree,climate_interest_reason,created_at,status,internal_notes
Sofia,Lopez,,https://linkedin.com/in/sofialopez,sofia1@yahoo.com,AI Researcher at Google,MBA Candidate,UCLA - Design,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-13T08:29:27Z,confirmed,
Ben,Patel,Paris,https://linkedin.com/in/benpatel,ben.patel@yahoo.com,Business Development,Sales Director,UCLA - Design,Considering building something but still ideating.,2026-01-28T15:27:19Z,applied,
Grace,Wright,LA,https://linkedin.com/in/gracewright,grace3@yahoo.com,Marketing Manager @ Microsoft,AI Researcher at VC Fund,MIT - Engineering,Considering building something but still ideating.,2026-01-12T04:33:57Z,applied,
Tariq,Scott,New York,https://linkedin.com/in/tariqscott,tscott@protonmail.com,MBA Candidate @ Self-employed,Startup Founder (exploring) at Microsoft,Cambridge - Engineering,I want to meet interesting people.,2026-01-21T07:46:57Z,applied,Likely strong founder.
Jackson,Lee,Los Angeles,https://linkedin.com/in/jacksonlee,jackson5@protonmail.com,Recruiter,Technical Co-founder at Google,High School Senior,I recruit for startups and want to understand what climate companies need.,2026-01-07T05:15:28Z,confirmed,
Fatima,Thompson,Miami,https://linkedin.com/in/fatimathompson,fatima6@gmail.com,Software Engineer @ Shopify,Amazon,State University - Business,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-02-13T01:53:24Z,applied,
Diego,Walker,Miami,,diego.walker@gmail.com,Full Stack Engineer at Shopify,MBA Candidate,UCLA - Design,Curious whether distributed systems problems show up in climate infra.,2026-01-31T08:56:30Z,declined,
Ethan,Anderson,NYC,,ethan8@outlook.com,Technical Co-founder,CTO @ Stealth,NYU - Marketing,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-19T11:00:30Z,applied,
Leo,Thomas,Boston,https://linkedin.com/in/leothomas,leo9@yahoo.com,Full Stack Engineer,,Community College,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-09T12:32:06Z,applied,
Mason,Singh,FL,,msingh@gmail.com,VC Fund,Marketing Manager @ Consulting Firm,,I want to meet interesting people.,2026-01-17T03:56:32Z,accepted,Operator profile.
Kiran,Scott,Berlin,https://linkedin.com/in/kiranscott,kscott@gmail.com,Chief of Staff @ Coinbase,,UCLA - Design,Curious about supply chain and deployment challenges in climate.,2026-01-18T17:47:51Z,confirmed,
Daniel,Thomas,London,https://linkedin.com/in/danielthomas,daniel12@outlook.com,Family Office,,Harvard - Economics,Exploring whether climate is a space worth committing to.,2026-01-24T19:04:27Z,applied,
Mason,Allen,,https://linkedin.com/in/masonallen,mason.allen@protonmail.com,Software Engineer,Marketing Manager @ VC Fund,UCLA - Design,Curious whether distributed systems problems show up in climate infra.,2026-01-07T11:17:11Z,declined,VC attendee.
Claire,Torres,Boston,https://linkedin.com/in/clairetorres,clairetorres@protonmail.com,AI Researcher @ Coinbase,CTO at Consulting Firm,Cambridge - Engineering,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-24T11:04:25Z,applied,VC attendee.
Marcus,Nelson,FL,https://linkedin.com/in/marcusnelson,marcusnelson@gmail.com,Policy Analyst @ Stealth,Venture Associate at Nonprofit,UCLA - Design,Exploring whether climate is a space worth committing to.,2026-01-07T23:47:40Z,accepted,
Isabella,Davis,Paris,,isabella16@outlook.com,Full Stack Engineer,AI Researcher @ Early-stage startup,UCLA - Design,I'm a technical founder exploring climate SaaS opportunities.,2026-01-20T00:10:03Z,applied,Student exploring.
Taylor,Hill,LA,,taylorhill@protonmail.com,Venture Associate,,UCLA - Design,I heard there would be good snacks and interesting conversations.,2026-01-24T11:08:27Z,applied,
Arjun,Collins,Austin TX,https://linkedin.com/in/arjuncollins,acollins@gmail.com,Self-employed,MBA Candidate at Coinbase,Stanford - CS,I want to meet interesting people.,2026-02-13T06:41:09Z,confirmed,
Diego,Moore,Austin TX,,diego.moore@gmail.com,Data Scientist,Amazon,Community College,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-25T12:26:00Z,applied,
Valeria,Young,"San Francisco, CA",https://linkedin.com/in/valeriayoung,valeriayoung@gmail.com,Venture Associate @ Stripe,,MIT - Engineering,I heard there would be good snacks and interesting conversations.,2026-01-10T19:47:51Z,confirmed,Student exploring.
Valeria,Hall,IL,https://linkedin.com/in/valeriahall,vhall@yahoo.com,University,Product Manager (non-technical),UCLA - Design,Just curious about the startup scene.,2026-01-11T03:02:42Z,applied,
Casey,Singh,CO,https://linkedin.com/in/caseysingh,casey.singh@yahoo.com,ML Engineer at Shopify,,Harvard - Economics,Curious whether distributed systems problems show up in climate infra.,2026-02-03T04:41:30Z,accepted,
Leo,Hill,Paris,,lhill@protonmail.com,Recruiter @ Early-stage startup,,Harvard - Economics,I recruit for startups and want to understand what climate companies need.,2026-01-02T23:57:21Z,declined,
Omar,Campbell,TX,https://linkedin.com/in/omarcampbell,ocampbell@yahoo.com,Technical Co-founder at University,,UCLA - Design,Curious whether distributed systems problems show up in climate infra.,2026-02-19T21:40:12Z,applied,
Emma,Collins,WA,https://linkedin.com/in/emmacollins,emma25@gmail.com,Policy Analyst @ Consulting Firm,,MIT - Engineering,Exploring whether climate is a space worth committing to.,2026-02-21T16:55:04Z,applied,
Mei,Taylor,Paris,https://linkedin.com/in/meitaylor,mei26@protonmail.com,CTO,,High School Senior,I'm a technical founder exploring climate SaaS opportunities.,2026-02-06T06:18:33Z,applied,Likely strong founder.
Mei,Collins,MA,,mei27@outlook.com,Policy Analyst @ VC Fund,,Harvard - Economics,Considering building something but still ideating.,2026-02-10T01:35:53Z,applied,
Camila,Carter,,https://linkedin.com/in/camilacarter,camila.carter@outlook.com,VC Fund,,,Just curious about the startup scene.,2026-01-03T12:29:41Z,applied,
Ethan,Wright,London,https://linkedin.com/in/ethanwright,ethan.wright@outlook.com,Backend Engineer at Shopify,Marketing Manager @ Amazon,Oxford - PPE,I'm a technical founder exploring climate SaaS opportunities.,2026-02-18T13:36:38Z,applied,
Mason,Carter,Denver,https://linkedin.com/in/masoncarter,mason30@yahoo.com,University,,NYU - Marketing,Exploring whether climate is a space worth committing to.,2026-02-08T09:22:57Z,accepted,
Ethan,Walker,Toronto,,ewalker@outlook.com,Consulting Firm,,MIT - Engineering,Considering building something but still ideating.,2026-02-11T15:25:03Z,confirmed,
Jamie,Taylor,Remote,https://linkedin.com/in/jamietaylor,jamie.taylor@outlook.com,Venture Associate at Coinbase,Angel Investor @ Family Office,Oxford - PPE,Evaluating whether climate is too crowded for new capital.,2026-02-02T12:38:15Z,applied,
Sara,Hernandez,Seattle,,sara33@yahoo.com,Talent Lead @ Stripe,,,Looking to build relationships with founders who will need early hires.,2026-01-19T14:58:05Z,applied,
Zoe,Wilson,Bay Area,https://linkedin.com/in/zoewilson,zoe.wilson@yahoo.com,Data Scientist @ Shopify,,NYU - Marketing,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-22T22:49:33Z,applied,Operator profile.
Elena,Collins,Remote,https://linkedin.com/in/elenacollins,elenacollins@yahoo.com,Angel Investor at University,Backend Engineer at Self-employed,Stanford - CS,"Honestly, I just like meeting founders and seeing what people are building.",2026-01-12T12:05:56Z,confirmed,
Liam,Robinson,Canada,https://linkedin.com/in/liamrobinson,liam36@yahoo.com,Talent Lead @ Consulting Firm,,Cambridge - Engineering,Looking to build relationships with founders who will need early hires.,2026-01-22T20:58:47Z,confirmed,
Omar,Lopez,Canada,https://linkedin.com/in/omarlopez,olopez@protonmail.com,Community Lead @ Amazon,,Stanford - CS,Considering building something but still ideating.,2026-02-17T15:05:52Z,accepted,
Emma,Chen,,https://linkedin.com/in/emmachen,emmachen@protonmail.com,Talent Lead at Shopify,Policy Analyst @ VC Fund,MIT - Engineering,I recruit for startups and want to understand what climate companies need.,2026-01-26T15:32:38Z,declined,
Lily,Cho,TX,https://linkedin.com/in/lilycho,lily.cho@outlook.com,Google,,Cambridge - Engineering,Just curious about the startup scene.,2026-01-17T15:20:50Z,applied,Operator profile.
Valeria,King,Los Angeles,,valeriaking@protonmail.com,CTO,,High School Senior,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-06T13:28:07Z,applied,
Olivia,Nguyen,,https://linkedin.com/in/olivianguyen,olivianguyen@outlook.com,Policy Analyst at VC Fund,,Oxford - PPE,Exploring whether climate is a space worth committing to.,2026-02-02T10:29:20Z,accepted,
Sophia,Collins,Remote,,sophiacollins@protonmail.com,University,Microsoft,Stanford - CS,Just curious about the startup scene.,2026-01-05T07:51:57Z,applied,
